date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
10/18/2022,60.5,41.525,574.5833333,28.16666667,17.6125,68.04166667,0.442083333,2.125,1.60625,102.7916667,69.125
10/19/2022,46.09166667,31.98333333,427.75,16.19583333,14.9125,81.33333333,0.2525,0.625,1.4875,107.8333333,70.83333333
10/20/2022,37.4125,25.96666667,416.5,22.22083333,7.033333333,53.91666667,0.262083333,0,0.458333333,84.625,62.625
10/21/2022,49.975,33.79583333,554.2916667,30.77083333,9.004166667,38.08333333,0.366666667,0,0.397916667,84,62.33333333
10/22/2022,56.6875,39.175,946.0833333,42.7625,12.56666667,32.625,0.32875,0,1.65625,99.5,68.08333333
10/23/2022,78.83333333,54.90416667,1273.166667,50.99583333,19.84583333,27.95833333,0.375,0,1.629166667,126.5833333,76.91666667
10/24/2022,119.4875,83.125,1426.375,60.6875,34.38333333,48.41666667,0.7275,0,1.358333333,160.375,100.1666667
10/25/2022,123.8208333,82.4125,1056.458333,62.8625,38.4875,71.33333333,0.837916667,0,0.714583333,166,108.625
10/26/2022,64.11666667,39.8375,607.6666667,43.34166667,19.4875,55.375,0.403333333,0.375,0.825,143.75,86.41666667
10/27/2022,55.70833333,36.78333333,647.7083333,44.54583333,19.925,49.20833333,0.349166667,0,1.202083333,102.7083333,69.29166667
10/28/2022,84.07083333,56.28333333,887.9583333,60.45416667,27.1625,61.5,0.838333333,0,1.145833333,122.2083333,75.5
10/29/2022,105.6583333,72.5875,1284.5,64.1625,28.13333333,57.625,0.913333333,0,1.197916667,153.75,90
10/30/2022,76.675,53.43333333,1257.625,48.525,15.2,44.33333333,0.447916667,0,1.570833333,160,99.70833333
10/31/2022,23.325,16.29583333,488.6666667,20.51666667,5.425,59.45833333,0.142916667,0,1.76875,81.29166667,52.16666667
11/1/2022,39.8875,27.84583333,852.9583333,30.50833333,9.9,44.70833333,0.116666667,0,1.808333333,65.41666667,39.375
11/2/2022,85.96666667,59.97083333,1119.708333,49.35833333,24.40833333,63.83333333,0.237083333,0.375,1.633333333,115.1666667,73.25
11/3/2022,95.08333333,66.2625,1018.458333,58.6375,31.77083333,46.20833333,0.285416667,0,1.583333333,159.6666667,99.16666667
11/4/2022,99.7375,69.25416667,986.9583333,63.40416667,32.84583333,45.04166667,0.384583333,0,1.49375,153.5,89.75
11/5/2022,91.80416667,63.71666667,978.9166667,53.45833333,35.55416667,45.875,0.517083333,0,1.352083333,157.2916667,95.54166667
11/6/2022,99.06666667,68.94583333,1045.791667,59.2,32.8125,64.625,0.660416667,0,1.154166667,152.0416667,87.625
11/7/2022,105.5875,73.32083333,976.4166667,61.22916667,35.8375,75.375,0.760833333,0,0.945833333,158.1666667,96.95833333
11/8/2022,112.9708333,78.61666667,1099.625,68.375,35.31666667,72,0.592916667,0,1.154166667,160.75,100.6666667
11/9/2022,102.5208333,71.22083333,1067.083333,66.025,34.08333333,72.29166667,0.585416667,0,1.060416667,164.5416667,106.625
11/10/2022,55.275,37.59166667,651.8333333,47.7,23.71666667,47.95833333,0.381666667,0,0.86875,131.875,80.16666667
11/11/2022,62.8125,41.325,692.4166667,47.07083333,24.98333333,52.91666667,0.37875,0,1.070833333,117.625,74.04166667
11/12/2022,42.05833333,27.99583333,501.875,37.24166667,18.87916667,53.83333333,0.340833333,0,0.983333333,91.79166667,65.20833333
